"Abstract Id","Title","Author","Talk Type","ryan_krauss","stefan","Matthew","Chuck","aarchiba","perry short","perry long","gael short","gael long","all short","all long"
21,"The State of SciPy","Jarrod Millman","long",5,5,5,5,5,5,5,5,5,5,5
20,"SymPy -- Python library for symbolic mathematics -- introduction and applications","Ondřej Čertík","long",5,5,5,5,5,5,5,5,5,5,5
18,"Sage: Creating a viable free Python-based open source alternative to Magma, Maple, Mathematica and Matlab","Prof. William Stein","long",5,5,5,4,5,5,4,5,5,4.86,4.71
27,"Pysynphot: A Python Re-Implementation of a Legacy App in Astronomy","Dr Perry Greenfield","long",5,4,4.5,5,5,,,,,4.7,4.7
7,"matplotlib solves the riddle of the sphinx","Michael Droettboom","long",4,5,5,5,4,,,5,3,4.67,4.33
8,"Analysis and Visualization of Multi-Scale Astrophysical Simulations Using Python and NumPy","Matthew Turk","long",5,4,4.5,5,4,5,,5,4,4.64,4.42
25,"Nasty stride tricks","Robert Kern","short",4,5,4.5,5,4,5,,5,,4.64,
22,"UFuncs:  A generic function mechanism in Python","Dr Travis Oliphant","long",5,5,5,3,4,5,5,5,5,4.57,4.57
29,"How the Large Synoptic Survey Telescope (LSST) is using Python","Dr Robert Lupton","long",5,3,5,5,5,5,5,4,4,4.57,4.57
11,"Exploring network structure, dynamics, and function using NetworkX","Aric Hagberg","long",3,5,5,5,3,5,5,5,4,4.43,4.29
6,"Summarizing Complexity in High Dimensional Spaces","Prof. Karl Young","long",4,4,4,5,4,5,5,5,4,4.43,4.29
34,"NumPy Optimization: Manual tuning and automated approaches","Evan Patterson","short",4,5,5,3,4,5,,5,,4.43,
33,"Implementing the Grammar of Graphics for Python","Robert Kern","short",5,5,4.5,5,4,5,,2,,4.36,
2,"The new NumPy documentation framework","Stefan Johann Van der Walt","short",4,,5,3,4,5,3,5,2,4.33,3.5
26,"Experiences Using Scipy for Computer Vision Research","Damian Eads","long",5,5,4,4,4,4,3,4,3,4.29,4
19,"Converting Python functions to dynamically compiled C","Dr Ilan Schnell","short",4,4,4,5,3,5,,5,,4.29,
32,"Mayavi: Making 3D data visualization reusable","Dr Prabhu Ramachandran","long",4,5,5,3,4,4,4,,,4.17,4.17
24,"Py in the Sky: Python for Astronomy","Dr Perry Greenfield","long",4,3,5,4,5,,,4,3,4.17,4
9,"unPython: Converting Python numerical programs into C","Rahul Garg","long",4,5,4,4,3,5,5,4,3,4.14,4
12,"Finite Element Modeling of Contact and Impact Problems Using Python","Dr Ryan Krauss","long",,4,4.5,4,4,4,3,4,3,4.08,3.75
31,"Realtime Astronomical Time-series Classification and Broadcast Pipeline","Dan Starr","short",4,3,4,5,5,4,,3,,4,
23,"The Scipy Documentation Project","Prof. Joseph Harrington","short",5,,5,3,4,,,3,,4,
14,"Interval arithmetic: Python implementation and applications","Dr Stefano Taschini","long",4,3,4,4,3,5,5,4,3,3.86,3.71
13,"PyCircuitscape: A Tool for Landscape Ecology","Dr Viral Shah","long",4,3,4,5,4,4,3,3,2,3.86,3.57
28,"The Virtual Mixing System: Stacking Python modules to automate fluid dynamics simulations.","Dr Judah De Paula","long",4,4,,5,3,4,3,3,1,3.83,3.33
16,"Chronic Disease Modeling and Simulation Software","Dr Jacob Barhak","long",5,3,4,5,3,3,2,3,3,3.71,3.57
15,"Domain specific languages for scientific computing with Python: a case study in gravitational-wave data analysis","Dr Michele Vallisneri","short",5,2,4,5,3,4,,3,,3.71,
17,"HTS-Workflow: An integrated sample management and data analysis pipeline for high throughput DNA sequencing experiments.","Diane Trout","long",4,2,4,5,4,3,2,3,2,3.57,3.29
4,"Opportunities for SciPy in Global Education","Edward Cherlin","long",4,3,3,3,3,2,3,3,1,3,2.86
