Posts to mailing lists
number of posts,pypy-dev,pypy-svn
2003-1,371,0
2003-2,187,0
2003-3,76,0
2003-4,36,0
2003-5,32,304
2003-6,115,301
2003-7,101,46
2003-8,24,7
2003-9,115,200
2003-10,112,579
2003-11,49,52
2003-12,62,380
2004-1,49,18
2004-2,29,5
2004-3,13,68
2004-4,55,200
2004-5,24,82
2004-6,52,332
2004-7,80,107
2004-8,38,23
2004-9,23,44
2004-10,11,14
2004-11,79,400
2004-12,58,77
2005-1,71,371
2005-2,95,358
2005-3,54,342
2005-4,66,472
2005-5,108,731
2005-6,54,732
2005-7,71,922
2005-8,68,1038
2005-9,162,559
2005-10,109,737
2005-11,48,451
2005-12,66,515
2006-1,55,514
2006-2,33,486
2006-3,154,540
2006-4,138,961
2006-5,67,609
2006-6,38,757
2006-7, 111, 687
2006-8, 60, 506
2006-9, 11, 436
2006-10, 27, 521
2006-11, 32, 659
2006-12, 57, 514
2007-1, 37, 742
2007-2, 58, 837
2007-3, 76, 1175
